,SAM_1,SAM_1,SAM_2,SAM_2,SAM_3,SAM_3
belief,AI Generated,Human Generated,AI Generated,Human Generated,AI Generated,Human Generated
participant_id,,,,,,
1,4.5,4.0,1.0,2.0,1.0,2.0
2,4.0,3.5,3.0,2.5,2.0,2.0
3,3.0,3.5,1.5,2.5,2.0,1.5
4,3.5,4.0,3.5,3.0,4.0,4.0
5,2.5,4.0,3.0,3.0,3.5,3.0
6,3.5,4.0,3.5,1.5,1.5,2.5
7,4.0,3.5,1.0,1.5,2.0,1.0
8,4.5,3.5,2.0,3.0,2.0,3.5
10,2.5,5.0,3.0,1.5,3.0,4.0
11,3.0,4.5,3.0,2.0,3.0,2.5
12,3.5,4.0,2.0,1.0,4.0,4.5
13,3.0,3.0,1.0,1.0,3.0,3.5
14,3.5,5.0,3.5,2.5,3.0,2.0
15,3.5,3.5,3.5,2.5,2.0,2.5
16,3.5,4.5,3.0,2.5,5.0,5.0
17,3.5,3.0,2.5,3.0,3.0,2.5
18,3.0,4.5,3.5,1.5,2.5,2.0
19,3.5,3.5,2.5,2.0,2.5,2.5
20,4.0,4.5,3.5,3.0,3.0,3.0
21,3.0,4.5,3.5,2.5,3.5,3.5
22,3.0,3.5,3.0,2.0,3.5,2.5
23,4.0,5.0,2.5,3.5,2.5,3.0
